performance,overtime_hours,tenure,monthly_salary,is_anomaly
3.0,10.5,1.2,7828,0
2.2,12.0,2.4,10467,0
2.1,18.4,0.6,7791,0
2.3,22.0,1.9,11865,0
3.0,20.9,1.1,10827,0
2.4,27.4,2.4,7307,0
3.0,16.8,0.9,8757,0
2.2,17.6,1.4,8817,0
2.9,26.1,2.3,10392,0
2.2,28.4,0.7,8401,0
3.2,22.4,2.7,10729,0
2.3,11.4,2.2,8370,0
3.5,27.1,2.7,9113,0
2.4,22.7,1.4,9032,0
2.5,23.4,2.3,11599,0
3.0,22.2,0.9,11973,0
2.4,19.2,1.2,11242,0
3.0,14.4,1.3,6458,0
2.3,10.6,1.3,8193,0
2.1,28.3,1.9,11881,0
2.5,23.1,1.5,11266,0
2.7,15.3,1.1,10598,0
2.8,24.9,1.6,10780,0
2.6,14.4,3.0,10174,0
2.7,25.1,2.7,7252,0
2.9,25.8,1.6,6520,0
2.6,21.9,1.7,8059,0
3.5,27.2,0.5,11904,0
2.2,27.7,2.4,11250,0
2.5,15.9,0.9,6026,0
3.4,27.5,1.2,10100,0
3.1,20.2,0.8,11122,0
2.4,22.8,2.0,7252,0
2.6,13.2,2.9,10344,0
3.4,22.0,1.7,6916,0
3.4,27.6,2.6,8519,0
2.4,14.8,1.9,6645,0
2.1,19.7,0.7,10363,0
3.1,12.6,1.7,10503,0
2.2,20.6,2.0,7735,0
3.4,25.1,2.2,11840,0
2.5,29.9,2.1,9588,0
3.3,19.0,1.1,6524,0
2.5,21.8,1.1,7804,0
2.0,24.2,0.6,6552,0
3.4,27.2,0.7,7949,0
2.4,19.7,1.8,11925,0
3.4,21.4,1.7,9874,0
3.2,13.8,0.7,9531,0
2.5,18.2,2.7,6443,0
3.0,29.7,0.7,9298,0
3.1,26.0,0.8,7569,0
2.3,19.0,1.6,8281,0
2.7,27.5,0.7,10508,0
2.1,23.0,1.9,6120,0
3.5,28.5,2.6,7362,0
2.6,19.6,2.7,6480,0
2.2,10.0,1.5,9727,0
2.4,23.9,2.3,10552,0
3.0,19.7,1.0,7783,0
3.5,21.6,1.9,8569,0
2.1,21.7,1.8,10350,0
2.2,29.2,0.7,7522,0
2.1,11.4,2.7,9307,0
2.2,27.8,1.1,10870,0
2.1,11.6,2.1,10630,0
2.8,28.7,1.0,11867,0
2.5,15.3,0.8,11287,0
2.4,16.3,2.4,6594,0
2.0,22.4,1.9,6819,0
2.1,14.3,1.2,8859,0
3.3,27.6,1.4,7292,0
2.7,20.9,1.3,11357,0
2.8,23.4,1.9,11434,0
2.2,27.6,1.2,6876,0
3.1,13.1,1.2,7725,0
3.1,14.1,2.1,8162,0
2.8,15.0,2.8,6416,0
2.1,18.5,1.2,6029,0
2.5,12.6,2.9,7323,0
3.1,21.0,1.6,6079,0
2.2,28.9,2.2,7221,0
2.8,26.7,2.0,7213,0
2.6,10.8,1.4,6326,0
3.3,14.2,1.1,6842,0
2.5,21.2,2.7,11084,0
3.1,28.5,1.1,7331,0
3.5,26.2,2.7,6203,0
2.3,28.5,2.5,9372,0
