tenure,monthly_salary,overtime_hours,performance,promotions,commute_minutes,attrition
13.0,6819,29.7,2.0,2,91.0,1
17.9,8848,23.6,1.1,1,34.1,1
1.0,12515,28.6,3.8,6,34.2,1
16.3,6212,30.4,1.6,6,47.4,1
19.2,17029,4.1,2.5,5,103.2,0
16.2,29911,18.4,1.5,6,18.7,0
12.8,34236,14.5,1.8,1,15.0,0
6.1,8614,34.2,4.5,6,40.6,1
7.6,18130,14.2,3.7,10,81.3,0
3.8,29892,9.8,2.8,4,118.8,0
11.4,28433,13.0,4.1,0,35.2,1
6.7,14773,2.6,4.7,9,106.4,0
13.3,18964,35.4,3.6,2,39.1,0
11.4,14609,29.9,2.7,9,53.9,0
20.0,22696,19.7,4.0,1,26.8,0
13.8,25543,2.5,2.5,7,68.2,0
17.3,6376,27.2,1.5,8,92.6,1
7.1,15617,17.4,2.8,4,116.9,1
10.4,9486,34.8,2.2,10,65.8,1
7.8,11293,21.6,4.1,8,111.0,1
10.0,9665,37.2,4.5,4,36.3,1
11.6,8580,3.4,2.9,1,117.6,1
3.0,27618,19.0,3.2,4,68.0,0
19.3,23671,30.2,3.8,4,53.9,0
7.8,22959,18.1,2.0,1,47.2,1
5.0,13216,0.3,3.8,0,35.2,1
17.3,8321,20.6,2.1,7,33.6,0
18.7,24711,23.0,2.0,7,98.8,0
2.4,20124,14.2,2.6,0,84.1,1
2.4,19193,29.1,4.2,1,37.4,1
9.2,19824,7.3,2.9,1,58.7,0
11.2,7657,26.1,3.2,0,116.6,1
17.0,11449,16.3,2.9,6,109.3,0
0.5,18793,10.6,4.1,7,41.4,0
14.7,31669,22.2,3.9,2,30.9,0
1.6,30108,21.7,4.0,0,15.5,0
18.4,23403,6.3,4.8,1,103.6,0
1.8,34240,9.4,1.5,9,37.1,0
12.6,19737,26.3,3.3,5,112.8,1
14.5,13821,10.6,1.5,10,43.0,0
15.2,8377,0.4,3.5,9,119.6,0
4.7,14690,5.3,2.4,1,106.7,1
3.6,33320,21.7,2.2,10,68.2,0
11.3,27737,4.1,4.5,4,22.7,0
11.3,14924,11.3,1.8,5,32.4,0
5.6,22008,10.0,4.6,0,20.2,0
5.9,6116,13.3,1.5,4,27.8,1
14.3,24379,0.4,1.3,2,70.0,0
11.9,10852,17.2,1.2,5,108.9,1
17.3,17724,8.4,2.0,1,48.9,0
17.6,26337,30.0,4.7,3,105.1,0
16.3,34882,16.5,1.7,5,96.1,0
