tenure,salary,raise_pct,performance,overtime_hours,months_since_promotion,department,age,attendance_anomalies,attrition
23.8,19980.0,0.0,3,14.3,120.0,技术部,44.0,2,0
28.5,17509.0,3.6,2,19.1,120.0,人事部,54.0,2,0
6.6,9121.0,3.2,3,15.8,50.0,财务部,34.0,1,0
10.5,11241.0,8.3,4,56.6,108.0,市场部,36.0,1,0
27.4,17049.0,3.5,4,29.8,120.0,市场部,49.0,6,1
14.2,12497.0,5.8,4,19.5,43.0,运营部,39.0,2,0
21.1,23308.0,0.0,4,32.1,120.0,技术部,46.0,1,1
14.7,12807.0,2.9,2,43.4,109.0,人事部,37.0,2,0
0.0,9631.0,1.5,1,23.1,120.0,销售部,29.0,3,0
23.1,21053.0,11.4,4,48.0,120.0,技术部,47.0,1,0
0.0,8226.0,2.0,4,4.6,0.0,财务部,26.0,2,0
2.8,8164.0,4.2,4,53.4,28.0,运营部,29.0,3,0
12.5,9601.0,4.4,3,29.8,82.0,人事部,43.0,3,0
25.5,15688.0,0.0,3,29.0,120.0,人事部,47.0,2,0
30.6,17524.0,2.4,5,16.1,120.0,人事部,52.0,5,1
7.4,9163.0,5.2,3,5.4,55.0,人事部,31.0,2,0
0.8,9254.0,4.3,2,0.0,8.0,财务部,26.0,1,0
30.4,25264.0,0.0,4,14.7,120.0,技术部,54.0,0,1
0.0,6847.0,2.3,4,41.8,120.0,运营部,27.0,3,1
6.1,7731.0,7.1,5,10.8,120.0,市场部,29.0,3,1
11.0,9060.0,5.8,5,0.0,70.0,财务部,32.0,2,0
14.0,11900.0,7.7,4,11.8,53.0,市场部,39.0,3,1
21.7,17322.0,1.0,1,22.3,120.0,销售部,51.0,2,0
16.8,11241.0,7.8,3,23.1,86.0,运营部,47.0,2,0
16.2,11026.0,3.9,5,27.4,120.0,人事部,45.0,3,1
1.3,7547.0,8.8,3,50.7,8.0,财务部,28.0,0,0
5.3,11300.0,4.0,5,55.0,35.0,市场部,34.0,2,0
9.8,11633.0,0.0,4,70.1,78.0,人事部,38.0,2,1
4.2,8474.0,6.5,2,0.0,120.0,财务部,27.0,0,0
4.4,8281.0,2.7,4,12.9,120.0,市场部,31.0,0,1
2.8,7903.0,2.9,4,44.0,18.0,市场部,32.0,0,0
2.2,7659.0,0.0,2,20.9,15.0,销售部,26.0,1,0
12.2,15469.0,8.9,3,47.2,120.0,技术部,40.0,3,0
19.2,11938.0,2.4,4,34.1,120.0,财务部,45.0,1,0
0.0,6385.0,8.7,3,61.6,120.0,运营部,24.0,2,0
16.9,20143.0,2.7,3,50.9,115.0,技术部,38.0,2,0
20.0,13721.0,1.2,4,51.2,120.0,运营部,48.0,1,1
16.6,14602.0,8.0,4,21.8,120.0,人事部,47.0,2,0
27.3,15749.0,3.8,4,28.1,120.0,销售部,49.0,1,0
12.6,10950.0,3.8,5,23.9,116.0,财务部,37.0,3,1
28.4,26093.0,0.2,5,0.0,120.0,技术部,49.0,4,0
9.6,8941.0,2.6,3,59.4,84.0,人事部,30.0,0,0
2.1,9077.0,5.3,3,44.9,5.0,人事部,34.0,3,1
2.1,10262.0,0.1,4,23.1,20.0,市场部,28.0,3,0
12.7,16036.0,2.4,3,56.1,120.0,技术部,37.0,0,0
11.7,9619.0,2.7,4,17.4,87.0,运营部,35.0,4,0
0.0,8609.0,4.2,4,0.0,120.0,市场部,30.0,5,0
24.0,11724.0,8.4,3,50.1,120.0,运营部,47.0,4,0
3.3,7194.0,3.1,4,4.4,37.0,人事部,32.0,5,1
7.6,7349.0,1.9,4,26.1,120.0,人事部,31.0,2,0
5.2,9283.0,12.2,5,34.1,32.0,人事部,26.0,2,0
7.8,12882.0,2.7,3,37.7,33.0,销售部,36.0,0,0
12.0,10297.0,3.4,5,47.0,120.0,市场部,32.0,3,0
5.9,9133.0,2.9,2,41.6,56.0,市场部,34.0,2,0
7.0,10625.0,3.2,4,41.0,79.0,市场部,30.0,3,1
18.0,22241.0,4.2,5,14.2,120.0,技术部,47.0,2,0
23.8,15367.0,6.8,3,35.9,120.0,财务部,53.0,0,0
9.3,13955.0,5.2,2,0.0,29.0,技术部,38.0,5,0
