plan_progress,manpower_shortage,req_change,overtime_freq,depend_task,urgent_boss,risk
2,0,0,2,1,0,low
2,0,0,2,1,0,high
0,0,0,2,1,0,medium
1,0,0,2,1,1,medium
0,1,0,0,1,0,medium
1,1,0,2,1,0,medium
1,0,1,2,1,0,medium
0,0,1,0,0,0,medium
1,1,0,1,1,0,medium
2,0,0,2,0,0,low
1,0,1,0,0,0,medium
1,1,0,0,1,0,medium
1,1,0,1,0,0,medium
2,1,1,2,1,1,high
0,1,0,0,0,0,medium
2,1,0,1,1,1,medium
2,0,0,2,1,1,medium
1,0,1,0,1,0,medium
0,1,0,0,1,0,medium
2,0,1,1,0,0,low
1,0,0,0,0,0,low
0,0,0,2,1,0,medium
2,1,0,2,0,1,medium
2,1,1,2,1,0,medium
0,1,0,2,0,0,low
2,0,0,0,0,1,low
0,1,1,0,0,1,high
1,1,0,0,0,1,medium
1,1,0,2,0,0,medium
1,0,0,0,0,1,medium
0,1,1,0,0,1,high
2,0,0,2,0,0,low
0,0,1,1,1,0,high
0,0,1,0,1,1,high
1,1,1,2,1,0,high
0,0,0,2,1,0,medium
1,0,0,2,0,0,medium
0,0,1,0,0,0,medium
1,1,1,0,1,0,medium
0,1,1,1,0,0,high
2,0,0,2,0,1,medium
1,0,0,1,1,0,medium
2,1,0,2,1,0,medium
0,1,0,0,0,1,high
0,1,0,2,1,1,high
0,0,1,1,0,0,medium
0,1,0,2,1,1,high
0,0,0,2,0,1,high
0,1,0,0,1,1,high
0,1,0,2,0,0,high
2,1,0,0,0,0,low
0,0,1,1,0,1,high
2,0,1,0,1,0,low
1,1,1,0,0,0,medium
1,1,1,0,1,1,high
1,1,0,0,1,0,medium
1,0,0,2,1,1,medium
1,1,0,1,0,1,medium
0,0,1,1,0,1,high
2,0,1,2,1,1,medium
2,1,0,0,1,1,medium
0,1,1,2,0,1,high
1,1,1,1,1,0,high
2,0,0,1,1,0,low
0,1,0,0,0,0,medium
2,0,1,1,0,1,medium
0,0,0,0,1,0,medium
2,1,0,2,0,0,medium
1,1,1,2,1,1,high
2,1,1,1,0,1,medium
2,1,0,1,1,0,medium
0,1,1,1,0,0,high
1,0,0,0,1,1,medium
1,1,0,0,1,1,medium
2,0,1,1,0,1,medium
1,1,0,1,0,1,medium
0,1,1,2,1,0,high
0,0,1,2,0,0,high
0,1,0,0,1,1,high
1,1,1,1,1,1,high
0,1,0,2,0,1,high
0,0,0,0,0,0,medium
0,0,1,2,0,0,high
1,1,0,2,0,0,medium
0,0,1,2,1,1,high
0,0,0,0,1,0,medium
2,0,1,2,1,1,medium
2,1,0,1,1,0,medium
1,1,0,1,0,1,medium
2,1,1,1,1,1,high
0,1,1,0,1,1,high
1,1,0,1,0,1,medium
1,1,1,2,0,0,high
2,1,1,2,0,1,high
1,1,0,0,1,0,medium
0,1,1,1,1,1,high
2,1,1,2,1,1,high
0,0,0,1,0,0,medium
2,1,1,2,1,0,medium
1,0,1,0,1,0,medium
0,1,0,0,1,0,medium
1,0,0,2,1,1,medium
1,0,0,1,1,0,medium
1,1,0,2,0,0,medium
2,1,0,0,0,1,medium
2,0,1,1,1,1,medium
1,1,0,2,0,0,medium
1,0,0,0,0,0,low
1,1,1,1,0,0,medium
1,1,0,2,0,1,high
2,0,1,0,0,0,low
0,0,0,0,1,1,medium
1,1,1,1,1,1,high
0,1,1,2,1,0,high
2,0,1,2,0,0,medium
2,1,1,0,1,1,medium
1,1,1,1,1,0,high
1,1,1,1,1,0,high
1,1,1,0,1,0,medium
2,1,1,0,0,1,medium
1,1,0,0,1,0,medium
1,1,0,0,0,0,medium
0,1,0,0,0,1,high
2,0,1,2,1,1,medium
1,1,0,1,0,1,medium
2,0,0,1,1,1,medium
2,1,0,1,1,1,medium
1,1,1,1,1,1,high
0,0,1,0,1,0,medium
1,1,1,2,0,1,high
0,1,0,1,0,1,high
1,0,0,1,1,1,medium
1,0,1,2,1,1,high
1,0,0,0,1,0,low
1,0,0,1,0,1,medium
0,1,0,1,1,1,high
0,1,0,0,0,0,medium
1,0,1,2,0,0,medium
1,1,1,2,0,1,high
2,0,0,1,1,1,medium
1,1,1,1,0,1,high
0,0,1,2,1,1,high
1,0,1,1,0,0,medium
2,1,1,0,1,0,medium
2,1,0,2,0,0,medium
1,0,1,2,0,0,medium
1,1,0,0,0,1,medium
1,0,1,1,1,1,high
1,0,0,0,1,1,medium
1,0,1,2,0,1,high
2,1,1,2,1,0,medium
1,0,1,2,0,0,medium
1,1,1,0,0,0,medium
1,1,0,0,0,0,medium
1,1,0,1,0,1,medium
1,0,1,0,1,1,medium
1,0,1,2,1,0,medium
0,0,1,0,0,0,medium
1,0,0,2,0,0,medium
2,0,0,0,1,0,low
2,0,1,0,0,1,medium
0,0,0,0,1,0,medium
0,0,1,0,0,1,high
2,0,1,1,1,0,medium
0,0,1,1,0,0,medium
1,1,0,1,1,0,medium
1,0,0,0,1,1,medium
2,1,1,2,1,0,medium
0,0,1,1,0,1,high
1,1,1,2,0,1,high
2,1,1,0,1,0,medium
0,0,1,0,1,0,medium
2,1,0,1,1,1,medium
2,0,1,2,1,1,medium
2,0,0,2,1,0,low
1,1,0,1,0,1,medium
2,0,1,0,0,1,medium
1,1,1,0,0,0,medium
1,0,0,2,0,0,medium
0,1,1,1,1,0,high
2,1,0,0,0,0,low
0,0,1,1,1,1,high
1,1,0,2,0,1,high
1,1,1,0,0,1,high
0,0,0,1,0,0,medium
1,1,0,0,1,1,medium
1,0,1,0,1,0,medium
1,0,1,2,1,1,high
1,1,0,1,0,1,medium
2,1,1,0,1,0,medium
2,1,0,1,1,1,medium
0,0,0,2,0,1,high
2,0,0,0,0,1,low
2,0,0,0,1,1,low
2,1,1,2,1,0,medium
1,1,1,1,0,1,high
1,1,1,0,0,1,high
0,0,1,1,0,1,high
2,0,1,2,1,0,medium
1,0,1,2,0,0,low
1,1,0,1,1,1,high
1,0,1,0,1,0,medium
1,1,1,2,0,1,high
2,0,1,1,1,0,medium
0,1,1,2,1,0,high
2,0,1,2,1,0,medium
0,0,1,1,0,0,medium
0,0,1,0,0,1,high
2,0,1,0,0,0,low
2,0,1,0,1,1,medium
0,1,1,2,1,0,high
1,1,0,1,1,1,high
1,1,0,0,0,1,medium
1,1,0,2,0,1,high
0,1,1,2,0,1,high
0,1,1,0,1,0,high
1,0,1,0,1,0,high
2,1,0,0,0,1,medium
1,0,1,1,0,0,high
0,1,0,1,0,1,high
0,1,1,0,0,1,high
0,0,0,1,1,0,medium
0,1,0,2,0,1,high
2,0,1,1,0,1,medium
1,0,1,0,1,0,medium
2,0,1,0,0,1,medium
2,0,1,2,1,0,medium
0,1,0,1,0,0,medium
0,1,1,2,1,1,high
2,0,1,1,0,1,medium
1,1,1,2,1,1,high
0,1,1,1,1,0,high
0,1,0,2,1,1,high
1,1,1,1,1,0,high
1,1,0,2,1,1,high
0,0,1,1,0,0,medium
2,1,0,0,0,0,low
1,1,1,2,0,0,high
1,1,1,0,0,1,high
2,1,0,0,0,0,low
1,0,1,1,1,0,medium
1,1,0,0,0,0,medium
2,1,0,2,1,1,medium
2,1,1,0,0,1,medium
0,0,0,0,1,0,medium
2,1,1,2,0,0,medium
1,1,1,1,0,0,medium
2,0,1,1,1,0,medium
2,0,0,1,0,0,low
1,0,0,1,0,1,medium
2,1,0,1,0,1,medium
1,0,0,2,0,0,medium
2,1,0,0,0,0,low
2,1,0,2,1,0,medium
2,1,1,1,0,1,medium
0,0,0,1,1,1,high
1,0,1,2,1,1,high
0,1,0,1,0,1,high
1,0,0,0,0,1,medium
2,1,0,0,1,1,medium
0,1,1,1,1,1,medium
2,1,0,0,1,0,low
1,1,1,2,0,0,high
1,1,1,1,0,1,high
2,0,1,2,1,0,medium
1,1,0,0,0,1,medium
1,1,0,0,1,0,high
2,1,1,2,1,0,medium
2,0,1,2,1,0,medium
2,1,1,2,1,1,high
0,1,1,2,0,1,high
2,0,1,1,0,0,low
0,1,0,2,0,0,high
2,0,0,0,1,1,low
1,0,1,2,1,0,medium
2,0,1,2,1,1,medium
0,1,1,2,1,1,high
0,0,1,2,1,0,high
1,1,0,2,1,1,high
2,1,1,0,1,1,medium
0,1,0,1,0,1,high
2,1,1,0,0,1,medium
2,1,0,0,0,0,low
2,0,0,0,0,1,low
1,0,0,0,0,1,medium
1,1,0,1,1,1,high
0,0,0,0,1,0,medium
0,1,1,0,1,0,low
2,0,1,1,1,1,medium
0,1,1,0,0,1,high
1,1,0,0,1,1,medium
0,0,1,1,1,0,high
0,0,0,1,1,0,medium
0,1,1,1,1,0,high
1,0,0,2,0,1,medium
1,1,0,2,1,1,high
0,0,1,0,1,1,high
2,1,0,0,0,1,medium
1,0,0,0,0,0,low
2,1,0,2,0,1,medium
2,1,0,1,0,1,medium
0,1,1,2,0,1,high
0,0,0,0,1,1,medium
2,0,0,1,0,1,low
0,1,1,1,1,1,high
2,0,1,0,0,1,medium
2,0,0,0,1,1,low
2,1,1,0,0,1,medium
1,0,0,0,1,0,low
0,0,0,1,0,0,medium
1,1,0,2,0,0,medium
1,0,1,2,1,0,medium
0,0,1,1,1,0,high
2,0,1,2,1,0,medium
2,1,1,2,1,1,high
1,0,1,0,0,1,medium
0,1,0,2,1,1,high
0,1,0,1,0,1,high
1,1,0,2,0,0,medium
2,0,0,0,0,1,low
1,1,0,0,0,0,medium
1,0,0,1,0,1,medium
1,1,1,1,1,1,high
1,1,0,2,1,1,high
1,1,1,0,0,0,low
2,1,1,0,0,1,medium
2,0,1,2,1,1,medium
1,1,1,0,1,0,medium
2,1,0,2,0,0,medium
0,0,0,1,0,0,medium
0,0,0,2,1,1,high
2,1,1,0,0,1,low
2,1,1,0,1,0,medium
0,0,0,0,1,1,medium
1,0,1,1,1,0,medium
0,1,0,2,0,0,high
1,1,0,2,0,0,medium
1,1,0,2,0,0,medium
2,1,1,0,0,1,medium
2,0,0,1,0,0,low
2,1,0,1,0,0,low
1,1,1,2,0,0,high
1,0,0,1,0,0,low
2,1,1,0,1,1,medium
1,1,1,0,1,0,medium
1,0,0,0,1,0,low
2,0,1,1,1,0,medium
1,1,1,1,0,0,medium
1,1,1,0,0,0,medium
0,1,1,0,1,1,high
0,0,0,2,1,0,medium
1,1,1,0,0,0,medium
